Metric,Value
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29974
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29994
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.000264884
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.00026282
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.000057761
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.00026282
design_powergrid__voltage__worst,0.00026282
design_powergrid__voltage__worst__net:VDD,3.29974
design_powergrid__drop__worst,0.000264884
design_powergrid__drop__worst__net:VDD,0.000264884
design_powergrid__voltage__worst__net:VSS,0.00026282
design_powergrid__drop__worst__net:VSS,0.00026282
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0000603999999999999976903024279106801941452431492507457733154296875
ir__drop__worst,0.0002649999999999999903375902388091844841255806386470794677734375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
